"Type","Subpopulation","Indicator","Category","Count.NResp.T3.Status.Condition","Estimate.P.T3.Status.Condition","StdError.P.T3.Status.Condition","LCB95.P.T3.Status.Condition","UCB95.P.T3.Status.Condition","Estimate.U.T3.Status.Condition","StdError.U.T3.Status.Condition","LCB95.U.T3.Status.Condition","UCB95.U.T3.Status.Condition","CI95.P.T3.Status.Condition","NationalRef.Estimate.P.T3.Status.Condition","NationalRef.LCB95.P.T3.Status.Condition","NationalRef.UCB95.P.T3.Status.Condition","NationalRef.LCB95.U.T3.Status.Condition","NationalRef.UCB95.U.T3.Status.Condition","ID2Condition","IndicatorPlainLanguage","CategoryConditionPlainLanguage","IndicatorConditionFlag","TypePlainLanguage","SubpopulationPlainLanguage","SubpopulationFlag"
"WSA9_Ecoregions","Coastal Plains","Total_Phosphorus","Poor",111,48.23932102,5.124039811,38.19638754,58.2822545,95911.30462,13099.78399,70236.1998,121586.4094,20.08586696,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Coastal Plains-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Coastal Plains","Keep"
"WSA9_Ecoregions","Northern Appalachians","Total_Phosphorus","Good",44,18.08976973,3.825871924,10.59119855,25.58834091,24978.66443,5730.210296,13747.65863,36209.67024,14.99714236,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Northern Appalachians-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Northern Appalachians","Keep"
"WSA9_Ecoregions","Northern Appalachians","Total_Phosphorus","Fair",72,27.27974458,4.580945531,18.30125633,36.25823284,37668.3394,7032.134086,23885.60986,51451.06894,17.95697651,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Northern Appalachians-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Northern Appalachians","Keep"
"WSA9_Ecoregions","Northern Appalachians","Total_Phosphorus","Poor",136,54.63048569,5.141964235,44.55242098,64.7085504,75434.71203,10203.30012,55436.61127,95432.81278,20.15612942,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Northern Appalachians-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Northern Appalachians","Keep"
"WSA9_Ecoregions","Northern Plains","Total_Phosphorus","Good",57,39.8746209,3.627563227,32.76472762,46.98451417,10809.10239,1177.045285,8502.136025,13116.06876,14.21978655,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Northern Plains-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Northern Plains","Keep"
"WSA9_Ecoregions","Northern Plains","Total_Phosphorus","Fair",40,24.0845234,3.275273498,17.66510531,30.5039415,6528.766259,924.1385562,4717.487972,8340.044546,12.83883619,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Northern Plains-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Northern Plains","Keep"
"WSA9_Ecoregions","Northern Plains","Total_Phosphorus","Poor",75,36.0408557,3.00205581,30.15693444,41.92477697,9769.855885,816.3060123,8169.9255,11369.78627,11.76784253,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Northern Plains-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Northern Plains","Keep"
"WSA9_Ecoregions","Southern Appalachians","Total_Phosphorus","Good",16,6.155006053,1.483598909,3.247205624,9.062806482,17808.9852,4256.564789,9466.271514,26151.69888,5.815600858,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Southern Appalachians-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Southern Appalachians","Keep"
"WSA9_Ecoregions","Southern Appalachians","Total_Phosphorus","Fair",34,13.39860923,2.806055565,7.898841385,18.89837708,38767.73335,8562.728281,21985.09431,55550.37239,10.999535695,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Southern Appalachians-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Southern Appalachians","Keep"
"WSA9_Ecoregions","Southern Appalachians","Total_Phosphorus","Poor",201,80.44638472,2.979156901,74.60734449,86.28542495,232764.7548,19424.82089,194692.8054,270836.7041,11.67808046,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Southern Appalachians-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Southern Appalachians","Keep"
"WSA9_Ecoregions","Southern Plains","Total_Phosphorus","Good",29,17.89261276,3.150133848,11.71846388,24.06676165,6945.48927,1013.844099,4958.39135,8932.587189,12.34829777,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Southern Plains-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Southern Plains","Keep"
"WSA9_Ecoregions","Southern Plains","Total_Phosphorus","Fair",32,22.44722962,4.069482429,14.47119062,30.42326862,8713.483856,1470.782597,5830.802937,11596.16477,15.952078,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Southern Plains-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Southern Plains","Keep"
"WSA9_Ecoregions","Southern Plains","Total_Phosphorus","Poor",72,59.66015762,5.163879918,49.53913896,69.78117628,23158.66274,3967.542842,15382.42167,30934.90382,20.24203732,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Southern Plains-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Southern Plains","Keep"
"WSA9_Ecoregions","Temporate Plains","Total_Phosphorus","Good",45,22.81814843,3.105367688,16.73173961,28.90455726,42407.59311,6195.737311,30264.17112,54551.0151,12.17281765,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Temporate Plains-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Temperate Plains","Keep"
"WSA9_Ecoregions","Temporate Plains","Total_Phosphorus","Fair",38,24.24528543,3.510642152,17.36455325,31.12601761,45059.93123,7294.175409,30763.61013,59356.25233,13.76146436,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Temporate Plains-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Temperate Plains","Keep"
"WSA9_Ecoregions","Temporate Plains","Total_Phosphorus","Poor",136,52.93656614,3.802621926,45.48356412,60.38956816,98382.75722,8705.103385,81321.0681,115444.4463,14.90600404,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Temporate Plains-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Temperate Plains","Keep"
"WSA9_Ecoregions","Upper Midwest","Total_Phosphorus","Good",30,25.45414974,4.045020176,17.52605588,33.3822436,25873.53646,4499.029094,17055.60147,34691.47145,15.85618772,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Upper Midwest-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Upper Midwest","Keep"
"WSA9_Ecoregions","Upper Midwest","Total_Phosphorus","Fair",19,18.1868998,3.937246521,10.47003842,25.90376118,18486.55012,4345.481846,9969.56221,27003.53804,15.43372276,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Upper Midwest-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Upper Midwest","Keep"
"WSA9_Ecoregions","Upper Midwest","Total_Phosphorus","Poor",110,56.35895046,4.660315022,47.22490086,65.49300006,57287.52972,6125.918634,45280.94982,69294.10961,18.2680992,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Upper Midwest-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Upper Midwest","Keep"
"WSA9_Ecoregions","Western Mountains","Total_Phosphorus","Good",53,15.36161008,2.229031339,10.99278894,19.73043123,28655.18082,3826.14705,21156.0704,36154.29124,8.73764229,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Western Mountains-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Western Mountains","Keep"
"WSA9_Ecoregions","Western Mountains","Total_Phosphorus","Fair",83,34.72826982,3.907555547,27.06960168,42.38693796,64781.28567,9131.509723,46883.85548,82678.71585,15.31733628,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Western Mountains-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Western Mountains","Keep"
"WSA9_Ecoregions","Western Mountains","Total_Phosphorus","Poor",130,49.9101201,3.985247793,42.09917795,57.72106224,93101.14684,9950.849391,73597.84042,112604.4533,15.62188429,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Western Mountains-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Western Mountains","Keep"
"WSA9_Ecoregions","Xeric","Total_Phosphorus","Good",62,29.0181108,4.192381375,20.80119429,37.2350273,12772.95027,1620.61717,9596.598985,15949.30156,16.43383301,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"WSA9_Ecoregions-Xeric-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","WSA9 Ecoregions","Xeric","Keep"
"WSA9_Ecoregions","Xeric","Total_Phosphorus","Fair",39,23.4012988,4.446153336,14.68699839,32.11559921,10300.58876,2101.288708,6182.138568,14419.03894,17.42860082,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"WSA9_Ecoregions-Xeric-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","WSA9 Ecoregions","Xeric","Keep"
"WSA9_Ecoregions","Xeric","Total_Phosphorus","Poor",82,47.58059041,5.646625985,36.51340684,58.64777397,20943.62791,3631.841532,13825.34931,28061.90651,22.13436713,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"WSA9_Ecoregions-Xeric-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","WSA9 Ecoregions","Xeric","Keep"
"Std_Fed_Regions","Region_1","Total_Phosphorus","Good",33,27.60780486,6.692630237,14.49049063,40.72511909,14912.72079,3626.693204,7804.532731,22020.90886,26.23462846,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_1-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 1","Keep"
"Std_Fed_Regions","Region_1","Total_Phosphorus","Fair",47,32.04058355,6.636502729,19.03327721,45.04788988,17307.14481,3179.43188,11075.57283,23538.71678,26.01461267,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_1-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 1","Keep"
"Std_Fed_Regions","Region_1","Total_Phosphorus","Poor",50,40.3516116,9.269425829,22.18387081,58.51935238,21796.45649,7620.822705,6859.918454,36732.99452,36.33548157,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_1-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 1","Keep"
"Std_Fed_Regions","Region_2","Total_Phosphorus","Good",3,0.415307327,0.226788158,0,0.859803949,211.8353654,112.0203666,0,431.3912494,0.859803949,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_2-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 2","Keep"
"Std_Fed_Regions","Region_2","Total_Phosphorus","Fair",19,24.32603016,5.353736932,13.83289859,34.81916173,12407.95226,2865.265598,6792.13488,18023.76964,20.98626314,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_2-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 2","Keep"
"Std_Fed_Regions","Region_2","Total_Phosphorus","Poor",71,75.25866251,5.331636329,64.80884733,85.7084777,38387.10572,4665.590362,29242.71665,47531.4948,20.89963037,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_2-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 2","Keep"
"Std_Fed_Regions","Region_3","Total_Phosphorus","Good",19,16.59202879,4.672988334,7.43313996,25.75091763,23266.24512,6817.476783,9904.236161,36628.25408,18.31777767,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_3-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 3","Keep"
"Std_Fed_Regions","Region_3","Total_Phosphorus","Fair",33,17.16305982,3.956682552,9.408104524,24.91801513,24066.97589,5629.296968,13033.75657,35100.1952,15.509910606,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_3-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 3","Keep"
"Std_Fed_Regions","Region_3","Total_Phosphorus","Poor",82,66.24491138,5.571077333,55.32580045,77.16402231,92892.21742,14403.5958,64661.68841,121122.7464,21.83822186,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_3-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 3","Keep"
"Std_Fed_Regions","Region_4","Total_Phosphorus","Good",44,14.51899041,2.309571512,9.992313431,19.0456674,36015.85028,5682.856006,24877.65718,47154.04338,9.053353969,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_4-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 4","Keep"
"Std_Fed_Regions","Region_4","Total_Phosphorus","Fair",40,19.9758486,4.078106905,11.98290594,27.96879126,49552.14872,11532.9138,26948.05304,72156.24441,15.98588532,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_4-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 4","Keep"
"Std_Fed_Regions","Region_4","Total_Phosphorus","Poor",137,65.50516099,4.019013354,57.62803956,73.38228242,162492.2948,14348.62448,134369.5076,190615.082,15.75424286,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_4-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 4","Keep"
"Std_Fed_Regions","Region_5","Total_Phosphorus","Good",54,22.87907767,2.819023263,17.3538936,28.40426173,52807.32115,6812.985733,39454.11448,66160.52781,11.05036813,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_5-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 5","Keep"
"Std_Fed_Regions","Region_5","Total_Phosphorus","Fair",41,22.45206752,3.431184569,15.72706934,29.1770657,51821.73674,9034.442701,34114.55443,69528.91906,13.44999636,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_5-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 5","Keep"
"Std_Fed_Regions","Region_5","Total_Phosphorus","Poor",184,54.66885482,3.63517051,47.54405154,61.79365809,126181.4753,10744.53512,105122.5734,147240.3771,14.24960655,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_5-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 5","Keep"
"Std_Fed_Regions","Region_6","Total_Phosphorus","Good",40,14.91351956,3.006455816,9.020974445,20.80606468,18652.80873,3477.507053,11837.02015,25468.59731,11.785090235,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_6-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 6","Keep"
"Std_Fed_Regions","Region_6","Total_Phosphorus","Fair",49,28.19343335,6.263906982,15.91640126,40.47046544,35262.41525,9483.744177,16674.61822,53850.21227,24.55406418,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_6-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 6","Keep"
"Std_Fed_Regions","Region_6","Total_Phosphorus","Poor",107,56.89304709,6.314604459,44.51664977,69.2694444,71157.92625,11583.7038,48454.284,93861.5685,24.75279463,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_6-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 6","Keep"
"Std_Fed_Regions","Region_7","Total_Phosphorus","Good",20,13.85108416,3.218680731,7.542585845,20.15958247,14419.95483,3495.75197,7568.406866,21271.50278,12.616996625,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_7-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 7","Keep"
"Std_Fed_Regions","Region_7","Total_Phosphorus","Fair",27,19.99335284,4.004318193,12.1450334,27.84167228,20814.48943,4447.269723,12098.00094,29530.97791,15.69663888,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_7-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 7","Keep"
"Std_Fed_Regions","Region_7","Total_Phosphorus","Poor",127,66.15556301,4.631752748,57.07749443,75.23363158,68872.60371,6897.759007,55353.24448,82391.96293,18.15613715,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_7-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 7","Keep"
"Std_Fed_Regions","Region_8","Total_Phosphorus","Good",91,23.00370476,2.882862723,17.35339765,28.65401187,29509.28971,3329.884725,22982.83558,36035.74385,11.30061422,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_8-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 8","Keep"
"Std_Fed_Regions","Region_8","Total_Phosphorus","Fair",85,28.90113194,4.061555217,20.94062999,36.86163389,37074.54449,6249.583539,24825.58584,49323.50315,15.9210039,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_8-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 8","Keep"
"Std_Fed_Regions","Region_8","Total_Phosphorus","Poor",164,48.0951633,4.213968406,39.83593699,56.35438961,61696.76244,7305.169552,47378.89322,76014.63167,16.51845262,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_8-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 8","Keep"
"Std_Fed_Regions","Region_9","Total_Phosphorus","Good",51,48.65373574,7.40288388,34.14434995,63.16312152,12656.67776,1703.049021,9318.76301,15994.5925,29.01877157,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_9-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 9","Keep"
"Std_Fed_Regions","Region_9","Total_Phosphorus","Fair",24,22.52342101,5.42809091,11.88455832,33.1622837,5859.194107,1413.351272,3089.076517,8629.311697,21.27772538,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_9-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 9","Keep"
"Std_Fed_Regions","Region_9","Total_Phosphorus","Poor",38,28.82284325,8.347803968,12.46144812,45.18423838,7497.912206,2824.698888,1961.604119,13034.22029,32.72279026,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_9-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 9","Keep"
"Std_Fed_Regions","Region_10","Total_Phosphorus","Good",29,9.386170682,2.144270679,5.183477379,13.58886399,9633.128229,2065.45847,5584.904016,13681.35244,8.405386611,17.52449401,15.3535614,19.69542662,185818.791,238352.873,"Std_Fed_Regions-Region_10-Total_Phosphorus","Phosphorus (Total)","Least Disturbed","Keep","EPA Regions","EPA Region 10","Keep"
"Std_Fed_Regions","Region_10","Total_Phosphorus","Fair",51,36.26421314,5.331286963,25.81508271,46.71334358,37218.35317,6897.991152,23698.53894,50738.16739,20.89826087,24.07692136,20.99827684,27.15556587,248911.2139,333858.6958,"Std_Fed_Regions-Region_10-Total_Phosphorus","Phosphorus (Total)","Moderately Disturbed","Keep","EPA Regions","EPA Region 10","Keep"
"Std_Fed_Regions","Region_10","Total_Phosphorus","Poor",93,54.34961617,5.285442082,43.99034005,64.7088923,55779.5974,7302.363237,41467.22846,70091.96635,20.71855225,58.39858463,55.11370559,61.68346367,647790.2452,765718.4583,"Std_Fed_Regions-Region_10-Total_Phosphorus","Phosphorus (Total)","Most Disturbed","Keep","EPA Regions","EPA Region 10","Keep"
