"SITE_ID","LAT_DD83","LON_DD83","XCOORD","YCOORD","AG_ECO3_NM","AG_ECO9_NM","MISS_BASIN_NM","MAJ_BAS_NM","FS_EW","EPA_REG","STRAH_CAT","NARS_OWN","NRS13_EVAL","NRS13_MDC","NRS13_PNL","NRS13_SF","NRS13_STRA","NRS13_TNT","NRS13_URBN","NRS13_VST","NRS13_WGTD","WGT13_ALL","WGT13_CAT","ANC_COND","ANC","DOC","PH","SAL_COND","COND","NTL_COND","NTL_UG_L","PTL_COND","PTL","BENT_MMI_COND","MMI_BENT","OE_SCORE","OE_COND","INSTRMCVR_COND","L_XFC_NAT","BEDSED_COND","LRBS_USE","RIPDIST_COND","W1_HALL","RIPVEG_COND","L_XCMGW","FISH_MMI_COND","MMI_FISH","ENT_1X_CCE_100ML","ENT_1X_STV_COND","MICX_COND","MICX_RESULT","MICX_MDL","MICX_RL","MICX_FLAG","HG_COND","MERCURY_RESULT","MERCURY_MDL","MERCURY_RL","MERCURY_FLAG","PUBLICATION_DATE"
"GAS9-0921","34.42897768","-82.90527557","1190323.063","-261717.398","Eastern Highlands","Southern Appalachians",NA,"South-Atlantic Region",NA,"Region_4","SmallStreams","Private","Target_Sampled","GA_Streams_GA_2nd","Base_09Stream","Include","GA","Target","NonUrban","1","1","690.81056","GA_SmallStreams","None","183.16","2.48","6.46","Good","34.4","Fair",424,"Poor","41","Poor","10.3","0.6007741253861979","O/E<0.8","Good","-0.129702526","Poor","-1.617704328","Low","0.0909136363636364","Good","0.1076944029","Fair","57.52","2318.9179463861","Above Human Health Threshold","<= 10 ug/L","0.205",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","142","0.792","4.39",NA,2017-10-12
"GAS9-0915","33.92673274","-85.05046408","1002726.546","-342167.553","Eastern Highlands","Southern Appalachians",NA,"South-Atlantic Region",NA,"Region_4","SmallStreams","Private","Target_Sampled","GA_Streams_GA_1st","Base_09Stream","Include","GA","Target","NonUrban","1","1","1625.95912","GA_SmallStreams","None","464.81","8.46","6.47","Good","63.9","Poor",1741,"Poor","92","Poor","8.28","0.4190249039557809","OE<0.5","Good","-0.03664153","Fair","-1.501130284","High","1.5","Good","0.018265381","Poor","42.98","1598.4607967216","Above Human Health Threshold","<= 10 ug/L","0.142",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","133","0.762","4.22",NA,2017-10-12
"PARM-1005","40.59864","-79.75119","1356916","463542.5","Eastern Highlands","Southern Appalachians","Ohio Region","Ohio-Tennessee Region",NA,"Region_3","RiversMajor","Private","Target_Sampled","PA_RiversMajor_SAP","Base_NewRiversMajor","Include","PA","Target","Urban","1","378.73039","189.36519","PA_RiversMajor","None","720.63","1.76","7.46","Good","280","Poor",525,"Good","14","Poor","14.83","0.51959658267819864","O/E<0.8","Good","-0.475676014","Not Assessed",NA,"High","2.44330505050505","Fair","-0.098269308","Poor","35.14","40.9093455588298","Below Human Health Threshold","<= 10 ug/L","0.12",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","57.3","0.917","5.08",NA,2017-10-12
"OHRM-1002","40.14887","-80.70356","1286170","400605.4","Eastern Highlands","Southern Appalachians","Ohio Region","Ohio-Tennessee Region",NA,"Region_5","RiversMajor","Private","Target_Sampled","OH_RiversMajor_SAP","Base_NewRiversMajor","Include","OH","Target","Urban","1","524.48168","306.08766","OH_RiversMajor","None","882.51","1.91","7.61","Good","348","Poor",845,"Fair","24","Poor","6.07","0.30537883986561848","OE<0.5","Fair","-0.619788758","Good","1.1232657661","High","1.894","Fair","-0.068958408","Poor","35","28.6652488677768","Below Human Health Threshold","<= 10 ug/L","0.117",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","83.1","0.659","3.65",NA,2017-10-12
"PARM-1001","40.76001","-79.54689","1370694","484281.2","Eastern Highlands","Southern Appalachians","Ohio Region","Ohio-Tennessee Region",NA,"Region_3","RiversMajor","Private","Target_Sampled","PA_RiversMajor_SAP","Base_NewRiversMajor","Include","PA","Target","Urban","1","378.73039","189.36519","PA_RiversMajor","None","783.85","1.91","7.57","Good","229","Fair",426,"Fair","16","Poor","17.93","0.42786114507618928","OE<0.5","Good","-0.483885483","Not Assessed",NA,"Moderate","1.31967034632035","Good","-0.066075785","Poor","34.77","63.4186070795579","Below Human Health Threshold","<= 10 ug/L","0.114",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","114","5.31","29.4",NA,2017-10-12
"NJS9-0908","41.04212","-74.0473","1814492","607431.9","Eastern Highlands","Southern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_2","SmallStreams","Private","Target_Sampled","NJ_Streams_NJ_2nd","Base_09Stream_RVT","Include","NJ","Target","Urban","2","1","155.31148","NJ_SmallStreams","None","2962.79","2.61","8.13","Fair","964","Poor",1875,"Poor","66","Poor","13.15","0.34779986762506077","OE<0.5","Good","-0.037716783","Good","-0.178907451","High","5.74099409090909","Fair","-0.268887616","Fair","55.94","1566.26965122922","Above Human Health Threshold","<= 10 ug/L","0.151",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"CARM-1007","38.43501","-121.5249","-2180653","399419.8","West","Xeric",NA,"California Region",NA,"Region_9","RiversMajor","Private","Target_Sampled","CA_RiversMajor_XER","Base_NewRiversMajor","Include","CA","Target","Urban","1","416.14148","36.0845","CA_RiversMajor","None","1310","2.4","7.91","Good","164","Fair",365,"Fair","63.4","Poor","9.87","0.22544752222636624","OE<0.5","Good","-0.449215928","Poor","-3.083127647","High","2.92434545454545","Good","-0.095186131","Not Assessed",NA,"30.207399770293","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
"AZR9-0902","36.43346223","-111.86409258","-1402647.068","-2155.033","West","Xeric",NA,"Lower Colorado Region",NA,"Region_9","RiversMajor","NPS","Target_Sampled","AZ_Rivers_AZ_7th+","Base_09River","Include","AZ","Target","NonUrban","1","1","29.59105","AZ_RiversMajor","None","2740.47","2.73","7.74","Fair","794","Good",166,"Good","2","Poor","29.02","0.73599128729957497","O/E<0.8","Good","-0.941022138","Fair","-0.972035257","Low","0.0681818181818182","Good","-0.41840198","Not Assessed",NA,"8.71640090375833","Below Human Health Threshold","<= 10 ug/L","0.117",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","38.9","1.74","9.65",NA,2017-10-12
"AZR9-0901","36.08766461","-111.87061131","-1409656.042","-40250.352","West","Xeric",NA,"Lower Colorado Region",NA,"Region_9","RiversMajor","NPS","Target_Sampled","AZ_Rivers_AZ_7th+","Base_09River","Include","AZ","Target","NonUrban","1","1","29.59105","AZ_RiversMajor","None","2507.06","2.45","7.74","Fair","773","Good",236,"Good","2","Poor","21.37","0.76384454097295484","O/E<0.8","Fair","-1.293204657","Good","0.066026932","Low","0","Good","-0.384815394","Not Assessed",NA,"7.45094692797128","Below Human Health Threshold","<= 10 ug/L","0.147",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","41.9","1.72","9.51",NA,2017-10-12
"CARM-1003","37.90976","-121.3253","-2179511","338062.9","West","Xeric",NA,"California Region",NA,"Region_9","RiversMajor","Private","Target_Sampled","CA_RiversMajor_XER","Base_NewRiversMajor","Include","CA","Target","Urban","1","416.14148","36.0845","CA_RiversMajor","None","1530","3.8","7.87","Fair","566","Poor",2090,"Poor","266","Poor","5.57","0.19523375049064487","OE<0.5","Fair","-1.082351291","Poor","-2.926766705","High","2.03252316017316","Fair","-0.459045191","Poor","24.84","27.0043054469356","Below Human Health Threshold","<= 10 ug/L","0.142",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","175","1.53","8.47",NA,2017-10-12
"NJRO-1019","40.75796","-74.16351","1812305","574234.8","Eastern Highlands","Southern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_2","RiversOther","Private","Target_Sampled","NJ_RiversOther_SAP","Base_NewRiversOther","Include","NJ","Target","Urban","1","172.38495","115.86663","NJ_RiversOther","None","1318.51","6.02","7.61","Good","466","Poor",1719,"Poor","301","Poor","0","0.30884264811978068","OE<0.5","Poor","-1.016086822","Not Assessed",NA,"High","5.64354472544999","Poor","-0.724898146","Poor","37.05","102.154153128125","Below Human Health Threshold","<= 10 ug/L","0.102",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","51.6","1.74","9.65",NA,2017-10-12
"TXR9-0907","30.57973","-94.99791","95903.25","-772531.4","Plains and Lowlands","Coastal Plains",NA,"Rio Grande-Texas-Gulf Region",NA,"Region_6","RiversMajor","Private","Target_Sampled","TX_Rivers_TX_6th","Base_09River","Include","TX","Target","NonUrban","1","1","279.59704","TX_RiversMajor","None","1710.71","5","8.07","Good","403","Fair",836,"Fair","85","Poor","37.6","0.78800631356857365","O/E<0.8","Good","-0.596567486","Good","3.050410081","Low","0.0303045454545455","Good","0.0354297382","Poor","33.55","29.4935395918161","Below Human Health Threshold","<= 10 ug/L","0.22",NA,NA,NA,"Exceeds 300 ng Hg/g ww","391","3.27","18.1","H",2017-10-12
"GAS9-0916","32.80115995","-82.92292172","1213670.297","-442044.05","Plains and Lowlands","Coastal Plains",NA,"South-Atlantic Region",NA,"Region_4","SmallStreams","Private","Target_Sampled","GA_Streams_GA_1st","Base_09Stream","Include","GA","Target","NonUrban","1","1","1726.64437","GA_SmallStreams","None","289.5","4.39","7.32","Good","45.2","Good",356,"Fair","85","Good","63.47","0.93840983026372171","O/E>=0.9","Good","-0.205068569","Good","-1.909506395","Low","0.113636363636364","Good","0.1291623732","Fair","54.04","822.849402605237","Below Human Health Threshold","<= 10 ug/L","0.132",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"NES9-0934","40.90226","-96.60626","-50657.94","381421.2","Plains and Lowlands","Temporate Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","SmallStreams","Private","Target_Sampled","NE_Streams_NE_1st","Base_09Stream_RVT","Include","NE","Target","NonUrban","2","1","2847.21634","NE_SmallStreams","None","6993.7","4.31",NA,"Good","845","Poor",6590,"Poor","330","Poor","0","0.35001609091273489","OE<0.5","Fair","-1.106894235","Fair","-1.713527893","Moderate","1.00003636363636","Good","-0.23793557","Poor","42.34","1757.98940605154","Above Human Health Threshold","<= 10 ug/L","0.158",NA,NA,NA,"Not Assessed",NA,NA,NA,NA,2017-10-12
"KSRS-1261","39.35249","-99.83154","-327072.3","214224.5","Plains and Lowlands","Southern Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","RiversOther","Private","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","NonUrban","1","987.90857","262.74164","KS_RiverStream","None","3520.79","5.94","7.93","Fair","1054","Good",415,"Good","55","Poor","16.97","0.55161204336972602","O/E<0.8","Good","-0.877039828","Good","-1.737191815","Moderate","1.11365454545455","Good","-0.176733305","Good","60.39","1094.39357374808","Below Human Health Threshold","<= 10 ug/L","0.128",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"KSRS-1277","39.04576","-99.04318","-260902","177430.1","Plains and Lowlands","Southern Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","RiversOther","Private","Target_Sampled","KS_RiverStream","Base_NewRiverStream","Include","KS","Target","NonUrban","1","987.90857","262.74164","KS_RiverStream","None","3188.61","6.69","7.87","Fair","1964","Good",469,"Good","33","Good","40.15","0.95516264693530517","O/E>=0.9","Good","-0.958607315","Good","-1.904978403","High","2.07577272727273","Good","-0.367220718","Good","52.41","108.451205871354","Below Human Health Threshold","<= 10 ug/L","0.115",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","192","1.72","9.51",NA,2017-10-12
"OKR9-0901","35.92582","-99.51525","-314285.2","-170542.2","Plains and Lowlands","Southern Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","RiversMajor","Private","Target_Sampled","OK_Rivers_OK_7th+","Base_09River_RVT","Include","OK","Target","NonUrban","2","1","141.24794","OK_RiversMajor_WPT","None","3270.49","3.46","8.4","Poor","2580","Good",246,"Good","37","Fair","24.4","0.52133912944364191","O/E<0.8","Fair","-1.248500948","Good","-0.948938089","Low","0.238107142857143","Good","-0.10119649","Poor","37.8","263.304318162672","Below Human Health Threshold","<= 10 ug/L","0.183",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","158","1.74","9.62",NA,2017-10-12
"PALS-1091","41.75655","-77.5552","1513129","624192.6","Eastern Highlands","Northern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_3","LargeStreams","State","Target_Sampled","PA_LargeStreams_NAP","Base_NewLargeStreams","Include","PA","Target","NonUrban","1","1102.45991","660.81246","PA_LargeStreams","None","498.71","0.85","7.68","Good","83.8","Good",108,"Good","15","Good","90.87","1.2131449637460598","O/E>=0.9","Good","-0.175992567","Good","-0.339756743","Low","0","Good","0.0864407276","Poor","46.73","215.084733771955","Below Human Health Threshold","<= 10 ug/L","0.168",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","114","1.69","9.36",NA,2017-10-12
"NJLS-1043","40.91547","-74.08986","1814278","592813.9","Eastern Highlands","Southern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_2","LargeStreams","Local Government","Target_Sampled","NJ_LargeStreams_SAP","Base_NewLargeStreams","Include","NJ","Target","Urban","1","741.70152","215.96128","NJ_LargeStreams","None","2284.86","3.49","7.9","Fair","765","Poor",5100,"Poor","611","Poor","11.75","0.68518285051460415","O/E<0.8","Good","-0.182104243","Fair","-0.534829091","High","3.81825454545455","Fair","-0.157163916","Poor","32.62","514.303345470194","Below Human Health Threshold","<= 10 ug/L","0.247",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","8.56","0.671","3.72",NA,2017-10-12
"DELS-1036","38.85149","-75.66956","1734648","337735.4","Plains and Lowlands","Coastal Plains",NA,"Mid-Atlantic Region",NA,"Region_3","LargeStreams","Private","Target_Sampled","DE_LargeStreams_CPL","Base_NewLargeStreams","Include","DE","Target","NonUrban","1","127.98514","25.87833","DE_LargeStreams","None","356.46","2.84","6.91","Good","137","Poor",2775,"Fair","96","Poor","32.67","1.05467806667326","O/E>=0.9","Poor","-1.256062854","Good","-0.652008343","Low","0.0606090909090909","Poor","-0.497634963","Poor","44.33","128.841516802064","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","22.2","1.73","9.58",NA,2017-10-12
"NES9-0923","41.41566","-98.08897","-173274.9","440643.5","Plains and Lowlands","Southern Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","LargeStreams","Private","Target_Sampled","NE_Streams_NE_4th","Base_09Stream","Include","NE","Target","NonUrban","1","1","79.78751","NE_LargeStreams","None","6614.042","4.99",NA,"Good","674","Poor",2870,"Poor","600","Fair","31.65","0.48270859531900617","OE<0.5","Good","-0.760359317","Fair","-1.866002414","Moderate","0.969727272727273","Poor","-0.677780705","Fair","41.78","100.125199557635","Below Human Health Threshold","<= 10 ug/L","0.119",NA,"0.15","L","Not Assessed",NA,NA,NA,NA,2017-10-12
"NES9-0930","41.67311","-97.67665","-138569.7","468774.5","Plains and Lowlands","Southern Plains","Lower Missouri Region","Missouri Region",NA,"Region_7","LargeStreams","Private","Target_Sampled","NE_Streams_NE_4th","Base_09Stream","Include","NE","Target","NonUrban","1","1","79.78751","NE_LargeStreams","None","5135.374","6.77",NA,"Good","572","Poor",6890,"Poor","700","Poor","0","0.45470128596714604","OE<0.5","Poor","-1.485090181","Fair","-2.656815405","Moderate","0.787909090909091","Poor","-2","Fair","47","523.641501111429","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","53.4","1.71","9.47",NA,2017-10-12
"OKS9-0935","35.54539","-99.72271","-334492.2","-212396.1","Plains and Lowlands","Southern Plains","Arkansas-White-Red Region","Arkansas-White-Red Region",NA,"Region_6","SmallStreams","Private","Target_Sampled","OK_Streams_OK_1st2n","Base_09Stream","Include","OK","Target","NonUrban","1","1","764.72468","OK_SmallStreams_WPT","None","6087.2","2.77","8.15","Good","663","Poor",2368,"Fair","111","Fair","31.32","0.79600819079050089","O/E<0.8","Good","-0.324554962","Good","-2.147692386","Moderate","1.22727272727273","Good","-0.399423087","Good","56.21","1441.45976200217","Above Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","205","1.74","9.65",NA,2017-10-12
"PAS9-0918","41.60763","-77.50377","1520517","608662.7","Eastern Highlands","Northern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_3","SmallStreams","State","Target_Sampled","PA_Streams_PA_2nd","Base_09Stream","Include","PA","Target","NonUrban","1","1","928.92714","PA_SmallStreams","None","198.77","0.77","7.05","Good","42.2","Good",153,"Fair","19","Good","79.53","0.91342745632064881","O/E>=0.9","Fair","-0.668480681","Good","0.00209773","Low","0.303045454545455","Good","0.0924654399","Good","71.38","462.873970400347","Below Human Health Threshold","<= 10 ug/L","0.134",NA,"0.15","L","Does Not Exceed 300 ng Hg/g ww","77.5","1.68","9.33",NA,2017-10-12
"MDS9-0914","38.68908","-75.7699","1730063","318115.7","Plains and Lowlands","Coastal Plains",NA,"Mid-Atlantic Region",NA,"Region_3","LargeStreams","Private","Target_Sampled","MD_Streams_MD_4th5t","Base_09Stream_RVT","Include","MD","Target","Urban","2","1","261.16151","MD_LargeStreams","None","447.67","4.26","7.24","Good","141.3","Poor",3038,"Fair","86","Poor","19.75","1.0232708723442432","O/E>=0.9","Fair","-0.83456681","Good","-0.850112764","High","3.71399393939394","Fair","0.0678482834","Poor","27.09",NA,"Not Assessed","<= 10 ug/L","0.195",NA,NA,NA,"Does Not Exceed 300 ng Hg/g ww","162","1.72","9.51",NA,2017-10-12
"NJR9-0901","41.27242","-74.84022","1744368","617709.3","Eastern Highlands","Southern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_2","RiversMajor","NPS","Target_Sampled","NJ_Rivers_NJ_6th+","Base_09River_RVT","Include","NJ","Target","NonUrban","2","1","59.40465","NJ_RiversMajor","None","272.58","1.96","7.23","Good","81.2","Fair",291,"Fair","18","Good","49.85","0.66107324583929827","O/E<0.8","Fair","-0.555671259","Good","1.182955903","Moderate","0.651531818181818","Good","-0.003070632","Poor","45.51","1452.76494130739","Above Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Exceeds 300 ng Hg/g ww","303","2.34","13",NA,2017-10-12
"TXS9-0926","29.91047","-95.49178","49036.42","-847215.2","Plains and Lowlands","Coastal Plains",NA,"Rio Grande-Texas-Gulf Region",NA,"Region_6","SmallStreams","Private","Target_Sampled","TX_Streams_TX_1st","Base_09Stream_RVT","Include","TX","Target","Urban","2","1","2895.42278","TX_SmallStreams","None","3397.38","6.26","7.65","Fair","779","Poor",10888,"Poor","2745","Poor","18.03","0.63787019847692328","O/E<0.8","Good","-0.392057827","Good","-0.138006077","High","2.58336818181818","Poor","-0.949725729","Poor","19.26","701.112826672093","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Does Not Exceed 300 ng Hg/g ww","16.2","1.67","9.23",NA,2017-10-12
"NJSS-1082","41.0507","-74.38407","1786925","601986.8","Eastern Highlands","Northern Appalachians",NA,"Mid-Atlantic Region",NA,"Region_2","SmallStreams","Private","Target_Sampled","NJ_SmallStreams_NAP","Base_NewSmallStreams","Include","NJ","Target","NonUrban","1","474.67201","139.83262","NJ_SmallStreams","None","336.69","3.51","6.62","Good","155","Poor",618,"Poor","129","Poor","14.67","0.50665542592023405","O/E<0.8","Good","-0.151530964","Good","0.031199016","High","2.08738095238095","Good","0.0028530038","Not Assessed",NA,"1137.89515820319","Below Human Health Threshold","Not Detected",NA,"0.1",NA,"ND","Not Assessed",NA,NA,NA,NA,2017-10-12
